FF 51 03 07 A1 20,C major
FF 58 04 04 02 18 08,C major
FF 01 18 68 61 72 70 73 69 63 68 6F 72 64 3A 20 4A 6F 68 6E 20 53 61 6E 6B 65 79,C major
C0 06,C major
8B 46 7F,D major,0.236979166667
9C 47 7F,D major,0.00390625
96 36 7F,D major
8C 47 7F,D major,0.236979166667
91 49 7F,D major,0.00520833333333
86 42 7F,D major,0.130208333333
81 49 7F,D major,0.106770833333
86 36 7F,D major
92 4A 7F,D major,0.00390625
94 40 7F,D major
82 4A 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.236979166667
84 40 7F,D major
96 4E 7F,D major,0.00390625
92 3E 7F,D major
86 4E 7F,D major,0.236979166667
94 4C 7F,D major,0.00651041666667
82 3E 7F,D major,0.235677083333
84 4C 7F,D major,0.00130208333333
97 4F 7F,D major,0.00520833333333
9C 47 7F,D major
8C 47 7F,D major,0.236979166667
87 4F 7F,D major
96 4E 7F,D major,0.00390625
9B 46 7F,D major
8B 46 7F,D major,0.236979166667
86 4E 7F,D major
94 4C 7F,D major,0.00520833333333
9C 47 7F,D major
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
8C 47 7F,D major,0.221354166667
82 4A 7F,D major,0.015625
94 4C 7F,D major,0.00260416666667
91 3D 7F,D major
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.236979166667
81 3D 7F,D major
96 4E 7F,D major,0.00651041666667
9B 46 7F,D major
8B 46 7F,D major,0.236979166667
86 4E 7F,D major
94 4C 7F,D major,0.00520833333333
98 44 7F,D major
88 44 7F,D major,0.236979166667
84 4C 7F,D major
92 4A 7F,D major,0.00390625
9B 46 7F,D major
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00520833333333
8B 46 7F,D major,0.221354166667
81 49 7F,D major,0.015625
92 4A 7F,D major,0.00520833333333
9C 47 7F,D major
8C 47 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00260416666667
9A 45 7F,D major
8A 45 7F,D major,0.236979166667
81 49 7F,D major
94 4C 7F,D major,0.00520833333333
97 43 7F,D major
87 43 7F,D major,0.236979166667
84 4C 7F,D major
92 4A 7F,D major,0.00651041666667
96 42 7F,D major
86 42 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00390625
94 40 7F,D major
84 40 7F,D major,0.236979166667
81 49 7F,D major
9C 47 7F,D major,0.00520833333333
92 3E 7F,D major
82 3E 7F,D major,0.236979166667
8C 47 7F,D major
91 49 7F,D major,0.00520833333333
94 40 7F,D major
84 40 7F,D major,0.236979166667
92 3E 7F,D major,0.00520833333333
82 3E 7F,D major,0.236979166667
81 49 7F,D major
9C 47 7F,D major,0.00390625
96 42 7F,D major
8C 47 7F,D major,0.115885416667
9B 46 7F,D major,0.00520833333333
8B 46 7F,D major,0.115885416667
86 42 7F,D major
98 44 7F,D major,0.00390625
94 40 7F,D major
88 44 7F,D major,0.115885416667
9B 46 7F,D major,0.00651041666667
84 40 7F,D major,0.114583333333
8B 46 7F,D major,0.00130208333333
9C 47 7F,D major,0.00520833333333
92 3E 7F,D major
8C 47 7F,D major,0.115885416667
9B 46 7F,D major,0.00520833333333
8B 46 7F,D major,0.115885416667
82 3E 7F,D major
9C 47 7F,D major,0.00390625
91 3D 7F,D major
81 3D 7F,D major,0.236979166667
92 3E 7F,D major,0.00520833333333
82 3E 7F,D major,0.236979166667
8C 47 7F,D major
91 49 7F,D major,0.00520833333333
94 40 7F,D major
84 40 7F,D major,0.236979166667
81 49 7F,D major
92 4A 7F,D major,0.00390625
96 42 7F,D major
82 4A 7F,D major,0.15625
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.078125
92 4A 7F,D major,0.00130208333333
82 4A 7F,D major,0.078125
91 49 7F,D major,0.00260416666667
81 49 7F,D major,0.078125
92 4A 7F,D major
86 42 7F,D major,0.0768229166667
82 4A 7F,D major,0.00260416666667
91 49 7F,D major,0.00130208333333
96 36 7F,D major
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00651041666667
86 36 7F,D major,0.235677083333
8C 47 7F,D major,0.00130208333333
9C 47 7F,D major,0.00390625
9C 3B 7F,D major
8C 47 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
8C 3B 7F,D major
98 44 7F,D major,0.00520833333333
96 36 7F,D major
88 44 7F,D major,0.236979166667
9B 46 7F,D major,0.00390625
8B 46 7F,D major,0.236979166667
86 36 7F,D major,0.00130208333333
9C 47 7F,D major,0.00390625
92 32 7F,D major
8C 47 7F,D major,0.236979166667
91 49 7F,D major,0.00390625
81 49 7F,D major,0.236979166667
82 32 7F,D major,0.00130208333333
92 4A 7F,D major,0.00390625
9C 2F 7F,D major
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00390625
81 49 7F,D major,0.236979166667
8C 2F 7F,D major,0.00260416666667
9C 47 7F,D major,0.00260416666667
8C 47 7F,D major,0.236979166667
97 4F 7F,D major,0.00520833333333
96 4E 7F,D major,0.0989583333333
87 4F 7F,D major,0.0169270833333
97 4F 7F,D major,0.0833333333333
86 4E 7F,D major,0.0143229166667
9C 2F 7F,D major,0.0247395833333
8C 2F 7F,D major,0.236979166667
91 31 7F,D major,0.00651041666667
81 31 7F,D major,0.236979166667
93 33 7F,D major,0.00520833333333
83 33 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
84 34 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
97 37 7F,D major,0.00520833333333
87 4F 7F,D major,0.1953125
87 37 7F,D major,0.0390625
96 36 7F,D major,0.00651041666667
86 36 7F,D major,0.236979166667
9A 39 7F,D major,0.00260416666667
8A 39 7F,D major,0.236979166667
97 37 7F,D major,0.00651041666667
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
84 34 7F,D major,0.236979166667
9A 39 7F,D major,0.00520833333333
8A 39 7F,D major,0.115885416667
98 38 7F,D major,0.00520833333333
88 38 7F,D major,0.115885416667
94 40 7F,D major,0.00520833333333
9A 39 7F,D major
84 40 7F,D major,0.236979166667
96 42 7F,D major,0.00390625
86 42 7F,D major,0.236979166667
98 44 7F,D major,0.00390625
88 44 7F,D major,0.236979166667
9A 45 7F,D major,0.00651041666667
8A 45 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
91 49 7F,D major,0.00390625
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00390625
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
8A 39 7F,D major,0.00390625
9A 45 7F,D major,0.00130208333333
8A 45 7F,D major,0.236979166667
96 4E 7F,D major,0.00390625
86 4E 7F,D major,0.115885416667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.115885416667
96 4E 7F,D major,0.00520833333333
9A 2D 7F,D major
8A 2D 7F,D major,0.236979166667
9C 2F 7F,D major,0.00520833333333
8C 2F 7F,D major,0.236979166667
91 31 7F,D major,0.00520833333333
81 31 7F,D major,0.236979166667
92 32 7F,D major,0.00390625
82 32 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
96 36 7F,D major,0.00651041666667
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00260416666667
84 34 7F,D major,0.236979166667
97 37 7F,D major,0.00520833333333
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
84 34 7F,D major,0.236979166667
92 32 7F,D major,0.00520833333333
86 4E 7F,D major,0.225260416667
82 32 7F,D major,0.01171875
98 38 7F,D major,0.00520833333333
9C 47 7F,D major,0.2421875
8C 47 7F,D major,0.236979166667
94 4C 7F,D major,0.00260416666667
84 4C 7F,D major,0.236979166667
88 38 7F,D major,0.00130208333333
92 4A 7F,D major,0.00390625
94 34 7F,D major
84 34 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
81 49 7F,D major
9C 47 7F,D major,0.00390625
98 38 7F,D major
88 38 7F,D major,0.236979166667
8C 47 7F,D major
91 49 7F,D major,0.00520833333333
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
81 49 7F,D major
9C 47 7F,D major,0.00520833333333
98 38 7F,D major
88 38 7F,D major,0.236979166667
8C 47 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00390625
94 34 7F,D major
84 34 7F,D major,0.236979166667
81 49 7F,D major
9C 47 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
8C 47 7F,D major
9A 45 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
8A 45 7F,D major
98 44 7F,D major,0.00390625
94 34 7F,D major
84 34 7F,D major,0.236979166667
92 32 7F,D major,0.00520833333333
88 44 7F,D major,0.0768229166667
96 42 7F,D major,0.00520833333333
82 32 7F,D major,0.154947916667
86 42 7F,D major,0.00130208333333
94 40 7F,D major,0.00390625
91 31 7F,D major
81 31 7F,D major,0.236979166667
9C 2F 7F,D major,0.00520833333333
84 40 7F,D major,0.157552083333
8C 2F 7F,D major,0.0794270833333
9A 45 7F,D major,0.00520833333333
91 31 7F,D major
81 31 7F,D major,0.236979166667
8A 45 7F,D major
9C 47 7F,D major,0.00390625
9A 2D 7F,D major
8A 2D 7F,D major,0.236979166667
8C 47 7F,D major
91 49 7F,D major,0.00390625
9A 39 7F,D major
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
8A 39 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.236979166667
86 36 7F,D major
9C 47 7F,D major,0.00520833333333
91 31 7F,D major
8C 47 7F,D major,0.236979166667
9A 45 7F,D major,0.00520833333333
8A 45 7F,D major,0.236979166667
81 31 7F,D major
96 4E 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
91 31 7F,D major,0.00260416666667
81 31 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
86 4E 7F,D major,0.00260416666667
98 44 7F,D major,0.00260416666667
92 32 7F,D major
82 32 7F,D major,0.236979166667
88 44 7F,D major
9A 45 7F,D major,0.00390625
91 31 7F,D major
81 31 7F,D major,0.236979166667
8A 45 7F,D major
98 44 7F,D major,0.00651041666667
9C 2F 7F,D major
8C 2F 7F,D major,0.236979166667
88 44 7F,D major
9A 45 7F,D major,0.00520833333333
91 31 7F,D major
81 31 7F,D major,0.236979166667
8A 45 7F,D major
92 4A 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00260416666667
94 34 7F,D major
81 49 7F,D major,0.15625
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.078125
91 49 7F,D major,0.00130208333333
81 49 7F,D major,0.078125
9C 47 7F,D major,0.00130208333333
8C 47 7F,D major,0.078125
91 49 7F,D major,0.00260416666667
84 34 7F,D major,0.0755208333333
81 49 7F,D major,0.00390625
9C 47 7F,D major,0.00130208333333
94 28 7F,D major
8C 47 7F,D major,0.236979166667
9A 45 7F,D major,0.00390625
8A 45 7F,D major,0.236979166667
84 28 7F,D major,0.00130208333333
9A 45 7F,D major,0.00390625
9A 2D 7F,D major
8A 2D 7F,D major,0.236979166667
91 31 7F,D major,0.00651041666667
81 31 7F,D major,0.236979166667
92 32 7F,D major,0.00390625
82 32 7F,D major,0.236979166667
8A 45 7F,D major
91 49 7F,D major,0.00390625
94 34 7F,D major
84 34 7F,D major,0.236979166667
81 49 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
82 4A 7F,D major
94 4C 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
84 4C 7F,D major
96 42 7F,D major,0.00390625
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
97 37 7F,D major,0.00520833333333
87 37 7F,D major,0.236979166667
86 42 7F,D major
97 43 7F,D major,0.00651041666667
9C 3B 7F,D major
8C 3B 7F,D major,0.236979166667
9A 39 7F,D major,0.00390625
8A 39 7F,D major,0.236979166667
87 43 7F,D major,0.00130208333333
9C 47 7F,D major,0.00390625
97 37 7F,D major
8C 47 7F,D major,0.115885416667
9A 45 7F,D major,0.00390625
8A 45 7F,D major,0.115885416667
87 37 7F,D major,0.00130208333333
97 43 7F,D major,0.00390625
96 36 7F,D major
87 43 7F,D major,0.115885416667
9A 45 7F,D major,0.00651041666667
86 36 7F,D major,0.114583333333
8A 45 7F,D major,0.00130208333333
9C 47 7F,D major,0.00260416666667
97 37 7F,D major
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
8C 47 7F,D major
92 4A 7F,D major,0.00520833333333
9A 39 7F,D major
82 4A 7F,D major,0.115885416667
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.115885416667
8A 39 7F,D major
9C 47 7F,D major,0.00651041666667
97 37 7F,D major
8C 47 7F,D major,0.115885416667
91 49 7F,D major,0.00260416666667
81 49 7F,D major,0.115885416667
87 37 7F,D major,0.00260416666667
92 4A 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
96 36 7F,D major,0.00390625
86 36 7F,D major,0.236979166667
82 4A 7F,D major,0.00130208333333
91 49 7F,D major,0.00260416666667
94 34 7F,D major
84 34 7F,D major,0.236979166667
81 49 7F,D major
94 4C 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
84 4C 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
82 4A 7F,D major
91 49 7F,D major,0.00520833333333
94 34 7F,D major
84 34 7F,D major,0.236979166667
81 49 7F,D major
92 4A 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
82 4A 7F,D major
94 4C 7F,D major,0.00520833333333
9A 39 7F,D major
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.236979166667
91 49 7F,D major,0.00260416666667
9A 2D 7F,D major
81 49 7F,D major,0.236979166667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.236979166667
9A 45 7F,D major,0.00520833333333
8A 2D 7F,D major,0.216145833333
8A 45 7F,D major,0.0182291666667
8A 39 7F,D major,0.00520833333333
97 43 7F,D major,0.00130208333333
87 43 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00520833333333
84 40 7F,D major,0.236979166667
97 43 7F,D major,0.00390625
87 43 7F,D major,0.236979166667
96 42 7F,D major,0.00390625
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00520833333333
84 40 7F,D major,0.236979166667
92 3E 7F,D major,0.00520833333333
82 3E 7F,D major,0.236979166667
9A 45 7F,D major,0.00520833333333
8A 45 7F,D major,0.236979166667
97 43 7F,D major,0.00520833333333
87 43 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.236979166667
94 40 7F,D major,0.00390625
84 40 7F,D major,0.236979166667
96 42 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
86 42 7F,D major
92 3E 7F,D major,0.00390625
94 34 7F,D major
84 34 7F,D major,0.236979166667
82 3E 7F,D major
9A 45 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00651041666667
8A 45 7F,D major,0.235677083333
84 34 7F,D major,0.00130208333333
9C 47 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
8C 47 7F,D major
91 49 7F,D major,0.00390625
94 34 7F,D major
81 49 7F,D major,0.115885416667
9C 47 7F,D major,0.00520833333333
8C 47 7F,D major,0.115885416667
84 34 7F,D major
91 49 7F,D major,0.00520833333333
92 32 7F,D major
81 49 7F,D major,0.115885416667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.115885416667
82 32 7F,D major
91 49 7F,D major,0.00390625
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
97 37 7F,D major,0.00390625
81 49 7F,D major,0.078125
9C 47 7F,D major,0.00520833333333
87 37 7F,D major,0.153645833333
8C 47 7F,D major,0.00260416666667
9A 45 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
8A 45 7F,D major,0.184895833333
84 34 7F,D major,0.0520833333333
92 4A 7F,D major,0.00390625
96 36 7F,D major
86 36 7F,D major,0.236979166667
92 32 7F,D major,0.00520833333333
82 32 7F,D major,0.236979166667
82 4A 7F,D major
92 4A 7F,D major,0.00520833333333
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
92 3E 7F,D major,0.00260416666667
9C 3B 7F,D major
8C 3B 7F,D major,0.236979166667
97 37 7F,D major,0.00651041666667
82 4A 7F,D major,0.229166666667
87 37 7F,D major,0.00520833333333
92 4A 7F,D major,0.00651041666667
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
84 34 7F,D major,0.236979166667
82 4A 7F,D major,0.00130208333333
92 4A 7F,D major,0.00390625
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
82 3E 7F,D major,0.235677083333
86 36 7F,D major,0.00130208333333
92 3E 7F,D major,0.00390625
97 37 7F,D major
87 37 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
82 4A 7F,D major,0.23046875
84 34 7F,D major,0.00390625
92 4A 7F,D major,0.00651041666667
92 32 7F,D major
82 32 7F,D major,0.236979166667
91 31 7F,D major,0.00520833333333
82 3E 7F,D major,0.229166666667
81 31 7F,D major,0.00520833333333
82 4A 7F,D major,0.00130208333333
92 4A 7F,D major,0.00520833333333
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
82 4A 7F,D major
92 3E 7F,D major,0.00520833333333
9C 3B 7F,D major
8C 3B 7F,D major,0.236979166667
97 37 7F,D major,0.00390625
82 3E 7F,D major,0.209635416667
87 37 7F,D major,0.0247395833333
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00520833333333
84 34 7F,D major,0.236979166667
82 4A 7F,D major
92 4A 7F,D major,0.00520833333333
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
96 36 7F,D major,0.00520833333333
86 36 7F,D major,0.236979166667
82 4A 7F,D major
92 3E 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
82 3E 7F,D major,0.119791666667
84 34 7F,D major,0.1171875
92 4A 7F,D major,0.00520833333333
92 32 7F,D major
82 32 7F,D major,0.236979166667
82 4A 7F,D major
94 4C 7F,D major,0.00390625
91 31 7F,D major
81 31 7F,D major,0.236979166667
84 4C 7F,D major
96 4E 7F,D major,0.00520833333333
92 32 7F,D major
86 4E 7F,D major,0.236979166667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.236979166667
82 32 7F,D major
97 4F 7F,D major,0.00520833333333
94 34 7F,D major
87 4F 7F,D major,0.236979166667
96 4E 7F,D major,0.00520833333333
86 4E 7F,D major,0.236979166667
84 34 7F,D major
94 4C 7F,D major,0.00390625
96 36 7F,D major
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00520833333333
82 4A 7F,D major,0.236979166667
86 36 7F,D major
9C 53 7F,D major,0.00520833333333
97 37 7F,D major
87 37 7F,D major,0.236979166667
96 36 7F,D major,0.00260416666667
86 36 7F,D major,0.236979166667
8C 53 7F,D major,0.00260416666667
91 49 7F,D major,0.00390625
9A 39 7F,D major
8A 39 7F,D major,0.236979166667
97 37 7F,D major,0.00520833333333
87 37 7F,D major,0.236979166667
81 49 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
86 36 7F,D major,0.236979166667
94 34 7F,D major,0.00390625
82 4A 7F,D major,0.1171875
94 4C 7F,D major,0.00390625
84 4C 7F,D major,0.115885416667
84 34 7F,D major
92 4A 7F,D major,0.00520833333333
96 36 7F,D major
82 4A 7F,D major,0.115885416667
91 49 7F,D major,0.00520833333333
81 49 7F,D major,0.115885416667
86 36 7F,D major
92 4A 7F,D major,0.00520833333333
97 37 7F,D major
82 4A 7F,D major,0.115885416667
94 4C 7F,D major,0.00520833333333
84 4C 7F,D major,0.115885416667
87 37 7F,D major
96 4E 7F,D major,0.00260416666667
9A 39 7F,D major
86 4E 7F,D major,0.15625
94 4C 7F,D major,0.00651041666667
84 4C 7F,D major,0.078125
96 4E 7F,D major
86 4E 7F,D major,0.078125
94 4C 7F,D major,0.00390625
84 4C 7F,D major,0.078125
96 4E 7F,D major
8A 39 7F,D major,0.0755208333333
86 4E 7F,D major,0.00390625
94 4C 7F,D major,0.00260416666667
9A 2D 7F,D major
84 4C 7F,D major,0.236979166667
92 4A 7F,D major,0.00390625
82 4A 7F,D major,0.236979166667
8A 2D 7F,D major,0.00130208333333
92 4A 7F,D major,0.00390625
9C 2F 7F,D major
8C 2F 7F,D major,0.239583333333
9A 2D 7F,D major,0.00520833333333
82 4A 7F,D major,0.161458333333
8A 2D 7F,D major,0.0794270833333
92 3E 7F,D major,0.00520833333333
90 30 7F,D major
80 30 7F,D major,0.239583333333
9C 2F 7F,D major,0.00520833333333
82 3E 7F,D major,0.1875
8C 2F 7F,D major,0.0533854166667
97 43 7F,D major,0.00520833333333
9A 2D 7F,D major
8A 2D 7F,D major,0.239583333333
97 2B 7F,D major,0.00520833333333
87 2B 7F,D major,0.239583333333
92 32 7F,D major,0.00390625
87 43 7F,D major,0.240885416667
9A 39 7F,D major,0.00520833333333
8A 39 7F,D major,0.239583333333
9C 3B 7F,D major,0.00520833333333
8C 3B 7F,D major,0.239583333333
91 3D 7F,D major,0.00520833333333
81 3D 7F,D major,0.239583333333
92 3E 7F,D major,0.00260416666667
82 3E 7F,D major,0.239583333333
94 40 7F,D major,0.00520833333333
84 40 7F,D major,0.239583333333
82 32 7F,D major,0.00130208333333
96 42 7F,D major,0.00520833333333
86 42 7F,D major,0.239583333333
94 40 7F,D major,0.00520833333333
91 31 7F,D major
81 31 7F,D major,0.239583333333
84 40 7F,D major
97 43 7F,D major,0.00390625
9C 2F 7F,D major
8C 2F 7F,D major,0.239583333333
87 43 7F,D major
96 42 7F,D major,0.00520833333333
9A 2D 7F,D major
8A 2D 7F,D major,0.239583333333
86 42 7F,D major
94 40 7F,D major,0.00651041666667
97 2B 7F,D major
87 2B 7F,D major,0.239583333333
84 40 7F,D major
92 3E 7F,D major,0.00390625
96 2A 7F,D major
86 2A 7F,D major,0.239583333333
82 3E 7F,D major
9C 47 7F,D major,0.00520833333333
97 2B 7F,D major
87 2B 7F,D major,0.251302083333
96 2A 7F,D major,0.00520833333333
86 2A 7F,D major,0.251302083333
9A 2D 7F,D major,0.00520833333333
8C 47 7F,D major,0.25
8A 2D 7F,D major,0.00130208333333
91 3D 7F,D major,0.00520833333333
97 2B 7F,D major
87 2B 7F,D major,0.251302083333
81 3D 7F,D major
92 3E 7F,D major,0.00260416666667
96 2A 7F,D major
86 2A 7F,D major,0.251302083333
82 3E 7F,D major
91 3D 7F,D major,0.00520833333333
